geography_code,geography_name,age,gender,Claimant count,Population estimate,Claimants percentage
E14000629,Chelsea and Fulham,Aged 16+,Total,2310.0,89763.0,2.5734434009558504
E14000629,Chelsea and Fulham,Aged 16-24,Total,240.0,11226.0,2.1378941742383755
E14000630,Cheltenham,Aged 16+,Total,1955.0,86296.0,2.2654584221748397
E14000630,Cheltenham,Aged 16-24,Total,365.0,12341.0,2.9576209383356296
E14000631,Chesham and Amersham,Aged 16+,Total,1260.0,76315.0,1.6510515626023718
E14000631,Chesham and Amersham,Aged 16-24,Total,155.0,7795.0,1.9884541372674793
E14000632,Chesterfield,Aged 16+,Total,2220.0,78610.0,2.8240681847093247
E14000632,Chesterfield,Aged 16-24,Total,460.0,8439.0,5.450882806019671
E14000633,Chichester,Aged 16+,Total,2080.0,93535.0,2.223766504517026
E14000633,Chichester,Aged 16-24,Total,290.0,10306.0,2.8138948185522996
E14000634,Chingford and Woodford Green,Aged 16+,Total,2695.0,74925.0,3.59693026359693
E14000634,Chingford and Woodford Green,Aged 16-24,Total,440.0,8395.0,5.24121500893389
E14000635,Chippenham,Aged 16+,Total,1370.0,81298.0,1.685158306477404
E14000635,Chippenham,Aged 16-24,Total,260.0,8024.0,3.2402791625124627
E14000636,Chipping Barnet,Aged 16+,Total,2805.0,95252.0,2.944820056271784
E14000636,Chipping Barnet,Aged 16-24,Total,345.0,10620.0,3.248587570621469
E14000637,Chorley,Aged 16+,Total,1725.0,86029.0,2.0051378023689685
E14000637,Chorley,Aged 16-24,Total,340.0,9142.0,3.7190986654998905
E14000638,Christchurch,Aged 16+,Total,980.0,75719.0,1.2942590367014883
E14000638,Christchurch,Aged 16-24,Total,140.0,6518.0,2.1478981282602025
E14000639,Cities of London and Westminster,Aged 16+,Total,2795.0,121250.0,2.3051546391752575
E14000639,Cities of London and Westminster,Aged 16-24,Total,355.0,18208.0,1.9496924428822497
E14000640,City of Chester,Aged 16+,Total,1720.0,80888.0,2.1263969933735534
E14000640,City of Chester,Aged 16-24,Total,320.0,11431.0,2.7994051264106377
E14000641,City of Durham,Aged 16+,Total,1465.0,91380.0,1.6031954475815278
E14000641,City of Durham,Aged 16-24,Total,300.0,23090.0,1.29926375054136
E14000642,Clacton,Aged 16+,Total,2385.0,76626.0,3.1125205543810193
E14000642,Clacton,Aged 16-24,Total,500.0,7309.0,6.840881105486386
E14000643,Cleethorpes,Aged 16+,Total,1640.0,77903.0,2.1051820854139125
E14000643,Cleethorpes,Aged 16-24,Total,335.0,7674.0,4.3653896273130055
E14000644,Colchester,Aged 16+,Total,2885.0,100900.0,2.859266600594648
E14000644,Colchester,Aged 16-24,Total,560.0,16163.0,3.46470333477696
E14000645,Colne Valley,Aged 16+,Total,2400.0,90907.0,2.6400607213965923
E14000645,Colne Valley,Aged 16-24,Total,410.0,9611.0,4.265945271043596
E14000646,Congleton,Aged 16+,Total,1180.0,81462.0,1.4485281480935897
E14000646,Congleton,Aged 16-24,Total,195.0,7641.0,2.5520219866509617
E14000647,Copeland,Aged 16+,Total,1035.0,65341.0,1.5839977961769793
E14000647,Copeland,Aged 16-24,Total,205.0,6629.0,3.092472469452406
E14000648,Corby,Aged 16+,Total,2585.0,99990.0,2.585258525852585
E14000648,Corby,Aged 16-24,Total,490.0,11381.0,4.305421316228802
E14000649,Coventry North East,Aged 16+,Total,5425.0,101882.0,5.324787499263854
E14000649,Coventry North East,Aged 16-24,Total,995.0,14673.0,6.781162679751926
E14000650,Coventry North West,Aged 16+,Total,3295.0,92691.0,3.554821935247219
E14000650,Coventry North West,Aged 16-24,Total,590.0,13107.0,4.501411459525444
E14000651,Coventry South,Aged 16+,Total,3950.0,111831.0,3.5321154241668236
E14000651,Coventry South,Aged 16-24,Total,795.0,34328.0,2.3158937310650196
E14000652,Crawley,Aged 16+,Total,3040.0,87499.0,3.4743254208619527
E14000652,Crawley,Aged 16-24,Total,495.0,10293.0,4.809093558729233
E14000653,Crewe and Nantwich,Aged 16+,Total,2250.0,90917.0,2.4747846937316456
E14000653,Crewe and Nantwich,Aged 16-24,Total,455.0,10656.0,4.269894894894895
E14000654,Croydon Central,Aged 16+,Total,4870.0,95687.0,5.089510591825431
E14000654,Croydon Central,Aged 16-24,Total,755.0,11607.0,6.504695442405445
E14000655,Croydon North,Aged 16+,Total,7550.0,113601.0,6.646068256441405
E14000655,Croydon North,Aged 16-24,Total,1265.0,14797.0,8.549030208826114
E14000656,Croydon South,Aged 16+,Total,2840.0,93438.0,3.0394486183351526
E14000656,Croydon South,Aged 16-24,Total,420.0,10424.0,4.029163468917882
E14000657,Dagenham and Rainham,Aged 16+,Total,4610.0,85661.0,5.381678943743361
E14000657,Dagenham and Rainham,Aged 16-24,Total,745.0,11946.0,6.236397120375021
E14000658,Darlington,Aged 16+,Total,2670.0,74753.0,3.5717630061669765
E14000658,Darlington,Aged 16-24,Total,500.0,8558.0,5.842486562280906
E14000659,Dartford,Aged 16+,Total,2380.0,92982.0,2.5596351982104064
E14000659,Dartford,Aged 16-24,Total,450.0,10551.0,4.264998578333807
E14000660,Daventry,Aged 16+,Total,1480.0,84444.0,1.7526408033726495
E14000660,Daventry,Aged 16-24,Total,250.0,8738.0,2.861066605630579
E14000661,Denton and Reddish,Aged 16+,Total,2235.0,70533.0,3.1687295308578967
E14000661,Denton and Reddish,Aged 16-24,Total,465.0,8055.0,5.772811918063315
E14000662,Derby North,Aged 16+,Total,2825.0,82235.0,3.4352769502036846
E14000662,Derby North,Aged 16-24,Total,595.0,13849.0,4.296339085854575
E14000663,Derby South,Aged 16+,Total,5250.0,89628.0,5.857544517338332
E14000663,Derby South,Aged 16-24,Total,1020.0,13998.0,7.286755250750107
E14000664,Derbyshire Dales,Aged 16+,Total,865.0,69299.0,1.2482142599460309
E14000664,Derbyshire Dales,Aged 16-24,Total,115.0,6425.0,1.7898832684824901
E14000665,Devizes,Aged 16+,Total,1340.0,84346.0,1.5886941882246937
E14000665,Devizes,Aged 16-24,Total,260.0,11364.0,2.2879267863428367
E14000666,Dewsbury,Aged 16+,Total,3095.0,90527.0,3.4188695085444123
E14000666,Dewsbury,Aged 16-24,Total,625.0,11830.0,5.283178360101437
E14000667,Don Valley,Aged 16+,Total,2165.0,82896.0,2.6117062343176993
E14000667,Don Valley,Aged 16-24,Total,470.0,8876.0,5.295178008111763
E14000668,Doncaster Central,Aged 16+,Total,3995.0,90190.0,4.429537642754186
E14000668,Doncaster Central,Aged 16-24,Total,775.0,10531.0,7.3592251448105594
E14000669,Doncaster North,Aged 16+,Total,2725.0,79118.0,3.4442225536540363
